image_path,color,type,x,y
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_bishop/black_bishop_1_F7.png,2,bishop,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_bishop/black_bishop_1_F8.png,2,bishop,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_bishop/black_bishop_1_G1.png,2,bishop,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_bishop/black_bishop_1_G2.png,2,bishop,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_bishop/black_bishop_1_G3.png,2,bishop,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_bishop/black_bishop_1_G4.png,2,bishop,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_bishop/black_bishop_1_G5.png,2,bishop,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_bishop/black_bishop_1_G6.png,2,bishop,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_bishop/black_bishop_1_G7.png,2,bishop,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_bishop/black_bishop_1_G8.png,2,bishop,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_bishop/black_bishop_1_H1.png,2,bishop,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_bishop/black_bishop_1_H2.png,2,bishop,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_bishop/black_bishop_1_H3.png,2,bishop,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_bishop/black_bishop_1_H4.png,2,bishop,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_bishop/black_bishop_1_H5.png,2,bishop,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_bishop/black_bishop_1_H6.png,2,bishop,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_bishop/black_bishop_1_H7.png,2,bishop,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_bishop/black_bishop_1_H8.png,2,bishop,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_A1.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_A2.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_A3.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_A4.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_A5.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_A6.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_A7.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_A8.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_B1.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_B2.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_B3.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_B4.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_B5.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_B6.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_B7.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_B8.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_C1.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_C2.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_C3.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_C4.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_C5.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_C6.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_C7.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_C8.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_D1.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_D2.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_D3.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_D4.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_D5.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_D6.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_D7.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_D8.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_E1.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_E2.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_E3.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_E4.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_E5.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_E6.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_E7.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_E8.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_F1.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_F2.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_F3.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_F4.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_F5.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_F6.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_F7.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_F8.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_G1.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_G2.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_G3.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_G4.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_G5.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_G6.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_G7.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_G8.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_H1.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_H2.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_H3.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_H4.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_H5.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_H6.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_H7.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_king/black_king_1_H8.png,2,king,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_A1.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_A2.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_A3.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_A4.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_A5.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_A6.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_A7.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_A8.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_B1.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_B2.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_B3.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_B4.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_B5.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_B6.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_B7.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_B8.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_C1.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_C2.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_C3.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_C4.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_C5.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_C6.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_C7.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_C8.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_D1.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_D2.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_D3.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_D4.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_D5.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_D6.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_D7.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_D8.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_E1.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_E2.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_E3.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_E4.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_E5.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_E6.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_E7.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_E8.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_F1.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_F2.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_F3.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_F4.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_F5.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_F6.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_F7.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_F8.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_G1.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_G2.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_G3.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_G4.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_G5.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_G6.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_G7.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_G8.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_H1.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_H2.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_H3.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_H4.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_H5.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_H6.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_H7.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_knight/black_knight_1_H8.png,2,knight,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_A1.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_A2.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_A3.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_A4.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_A5.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_A6.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_A7.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_A8.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_B1.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_B2.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_B3.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_B4.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_B5.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_B6.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_B7.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_B8.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_C1.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_C2.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_C3.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_C4.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_C5.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_C6.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_C7.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_C8.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_D1.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_D2.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_D3.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_D4.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_D5.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_D6.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_D7.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_D8.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_E1.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_E2.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_E3.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_E4.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_E5.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_E6.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_E7.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_E8.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_F1.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_F2.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_F3.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_F4.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_F5.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_F6.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_F7.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_F8.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_G1.png,2,pawn,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/black_pawn/black_pawn_1_G2.png,2,pawn,1,1
